Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
ITA;ele;1.613177521;1.691929633;1.711094898;1.717205484;1.671898635;1.7118495;1.782526236;1.79739559;1.863688784;1.861022272
ITA;COL;0.000353464;4.97E-04;6.58E-04;5.82E-04;6.01E-04;5.81E-04;5.37E-04;6.82E-04;7.79E-04;6.80E-04
ITA;CRU;8.25469E-08;2.06714E-07;2.50958E-07;2.47696E-07;3.90109E-07;3.25261E-07;4.9706E-07;4.41549E-07;5.32682E-07;4.83538E-07
ITA;CHM;1.257946475;1.85E+00;2.31E+00;2.58E+00;3.06E+00;3.405451933;3.824420891;4.239030568;5.093592648;6.122427717
ITA;IRS;1.32544E-05;3.06464E-05;6.42835E-05;9.26685E-05;0.000127479;0.000164603;0.000195058;0.00029554;0.000501844;0.001121037
ITA;MAC;0.218769259;0.569344318;0.921276599;1.198449573;1.490111228;2.23968218;3.010544958;3.682165718;5.402064372;23.31534456
ITA;FOT;6.358407;7.865886668;8.714646829;9.47449623;9.628861729;10.3259406;10.95583574;11.06552728;12.51957215;12.32967099
ITA;ROI;2.396848182;4.76543964;6.264657269;7.755333859;8.761951281;10.302453;11.67951508;14.70339433;16.44678267;24.37645531
ITA;BUI;0.047176473;0.109079731;0.228803983;0.329834357;0.453733934;0.585869058;0.694269171;1.05191378;1.786212195;3.990099883
ITA;TRN;0.954165827;1.469801371;1.802704359;2.241792835;2.674189327;3.200341079;3.956424487;4.660706515;6.329194245;11.52976857
ITA;AGR;0.787348357;0.977385776;1.077474195;1.168673076;1.183418567;1.263471727;1.328275551;1.340450782;1.519841152;1.478787388
ITA;SER;11.05755425;16.11143467;20.96734654;25.50985907;30.41676472;35.47020843;42.09718704;50.1362435;65.12528912;91.35586995
